,avg_gas_price,min_gas_price,avg_difficulty,avg_gas_limit,avg_gas_used,avg_size,avg_transaction_count,sum_tx_ether,num_blk,num_trn
0,77.7295851507647,1.2e-08,3698842700000000.0,12473932.289377287,12366900.025641024,40.2715347985348,157.28205128205127,126878.40162715447,273,42938
1,71.32511201365651,0.0,3701296800000000.0,12481339.373287676,12075992.770547945,40.079787671232864,159.98287671232873,105253.88575769287,292,46715
2,60.36005637226261,0.0,3793153200000000.0,12489706.67457627,12047747.718644066,39.686332203389846,171.36271186440686,88011.68746688096,295,50552
3,61.79826941572746,2e-09,3790141400000000.0,12492581.674074074,12337577.877777785,43.39111481481481,191.30740740740748,85054.64646818468,270,51653
4,52.22441670148804,1.0,3803551000000000.0,12486758.032490972,12065392.70758123,40.81284115523466,187.3682310469314,44320.21076392956,277,51901
5,47.42396256249449,1.0,3810611200000000.0,12476224.591549303,12242852.183098596,37.7252323943662,170.919014084507,47234.28969817598,284,48541
6,53.556325647302494,2e-09,3817472400000000.0,12489704.376000006,12120049.244,39.409184,165.35200000000003,63754.838774207135,250,41338
7,52.61967227441167,0.0,3724123000000000.0,12484482.14403292,12348990.263374487,41.819127572016455,190.58436213991772,67987.20450568218,243,46312
8,57.359816190406114,2e-09,3640663000000000.0,12486707.16,12106023.32,44.22132400000001,190.668,160997.25763627427,250,47667
9,57.776601500246066,1.0,3588533800000000.0,12462861.350806454,12097635.391129036,42.22889112903227,183.72580645161284,75044.96500583651,248,45564
10,50.52221860157381,2e-09,3602206800000000.0,12482876.09364549,12210359.632107025,36.224772575250846,156.5217391304347,122866.53865088086,299,46800
11,54.284692531106316,0.0,3619315800000000.0,12480555.48148148,12326378.92592593,41.58343703703704,177.0592592592593,65267.657569663075,270,47806
12,58.40659681308896,0.0,3655362000000000.0,12472685.33217993,12321078.878892733,41.55017993079585,176.2906574394463,79169.76316437343,289,50948
13,65.43384793574039,0.0,3696395700000000.0,12487845.283088233,12060205.220588235,43.030286764705906,181.38602941176472,75466.36704860465,272,49337
14,66.26018322466321,0.0,3716557600000000.0,12464276.435540067,12184754.815331016,42.29850174216027,188.3379790940767,85841.42818702878,287,54053
15,75.63819350506881,0.0,3742839000000000.0,12480866.128378375,12211625.513513513,43.783685810810816,190.8716216216217,102074.68884976055,296,56498
16,85.5269547605567,0.0,3830118200000000.0,12487183.717770034,12298692.99303136,43.26201045296168,184.00348432055745,96544.17859731783,287,52809
17,105.82203463013869,0.0,3792320800000000.0,12484419.75403226,12210946.56451613,42.412870967741924,174.61290322580646,155210.53981973574,248,43304
18,114.24359935435088,0.0,3769523700000000.0,12487140.370909093,12235268.49090909,39.867323636363615,168.58545454545447,138988.28856738794,275,46361
19,73.66289060483875,2e-09,3759846900000000.0,12482208.162878785,12325303.784090912,40.983219696969705,177.44696969696975,95465.74090637908,264,46846
20,55.80937559121976,0.0,3763346700000000.0,12488646.780575538,12289008.629496405,40.293111510791356,157.28057553956836,95728.35536705668,278,43724
21,54.93287781587904,1.0,3776460000000000.0,12464478.977528093,12392117.044943815,38.444865168539316,156.62172284644197,89270.17596488196,267,41818
22,55.5078016905584,2e-09,3721194800000000.0,12472629.031372547,12247456.674509808,38.7513411764706,155.7960784313725,88299.2721709038,255,39728
23,62.607331064849475,2e-09,3709405400000000.0,12489245.496376807,12384322.739130436,41.47168478260872,157.6050724637681,364727.0677290371,276,43499
24,94.95438988998056,0.0,3732360100000000.0,12490089.329629628,12060709.288888887,41.245692592592604,160.43333333333328,84524.6481878934,270,43317
25,82.12487772925365,1e-09,3712510400000000.0,12478840.90671641,12225014.611940302,39.3583880597015,162.6791044776119,89298.20868548127,268,43598
26,56.38911569319097,0.0,3755143000000000.0,12481218.262798635,12169156.122866893,39.371324232081925,167.18771331058016,118151.89018000042,293,48986
27,48.8720780088945,2e-09,3802629300000000.0,12479464.94158076,12295067.436426114,38.67737457044672,169.94158075601376,48042.64455605918,291,49453
28,45.1460812460751,2e-09,3878876500000000.0,12482066.151624547,12415235.29602888,38.58439711191336,171.11913357400718,56698.950464286594,277,47400
29,48.19108810051593,0.0,3848833500000000.0,12476104.629213486,12361888.546816476,40.493898876404494,175.9250936329588,40543.64498389346,267,46972
30,48.23096338438697,1.0,3842785000000000.0,12475428.15909091,12272687.75378788,38.29778409090911,165.2462121212122,73149.50183267074,264,43625
31,48.44412193080254,0.0,3818104000000000.0,12458848.254612545,12258933.214022135,41.88078597785977,183.08487084870842,66399.70409036694,271,49616
32,52.6273800759411,0.0,3807561500000000.0,12477470.229629636,12275932.396296294,43.64079259259258,195.4703703703704,62139.455977195656,270,52777
33,51.34190115750929,2e-09,3852601200000000.0,12457524.62541806,12182551.658862878,39.49251505016722,162.75919732441469,66472.03901983229,299,48665
34,54.844913017979096,1e-09,3885311400000000.0,12475790.56704981,12214424.314176248,39.70080842911877,169.4942528735633,79205.98839154441,261,44238
35,59.649643701610756,1e-09,3822275800000000.0,12489662.958490573,12330819.196226414,41.284139622641504,177.78490566037738,78858.62472298698,265,47113
36,106.43922688513409,1e-09,3837079000000000.0,12484497.614583332,12254484.28125,39.350274305555565,172.6493055555556,128433.71839751699,288,49723
37,160.26630082823013,0.0,3878647800000000.0,12477007.455223875,12275710.235074628,42.835242537313455,191.19402985074632,193371.39255516726,268,51240
38,177.52139655952286,0.0,3879416000000000.0,12485763.562962964,12286982.53703704,43.02670000000001,203.26296296296292,140801.96617887355,270,54881
39,170.49366309080787,2e-09,3855109500000000.0,12465754.40243903,12136209.130081307,42.33277235772358,198.3739837398373,128087.98124559702,246,48800
