,time,avg_gas_price,min_gas_price,max_gas_price,avg_base_fee_per_gas,avg_difficulty,avg_gas_limit,avg_gas_used,avg_size,avg_transaction_count,sum_tx_ether,num_blk,num_trn
0,2021-01-01 00:00:00+00:00,77.7295851507647,1.2e-08,31998.416996273,,3698842700000000.0,12473932.289377289,12366900.025641026,40.271534798534795,157.28205128205127,126878.40162715448,273,42938
1,2021-01-01 01:00:00+00:00,71.32511201365652,0.0,9610.551706241,,3701296800000000.0,12481339.373287674,12075992.770547943,40.07978767123287,159.98287671232873,105253.88575769287,292,46715
2,2021-01-01 02:00:00+00:00,60.36005637226261,0.0,11527.07441309,,3793153200000000.0,12489706.67457627,12047747.718644064,39.68633220338984,171.36271186440686,88011.68746688096,295,50552
3,2021-01-01 03:00:00+00:00,61.798269415727454,2e-09,8713.169952731,,3790141400000000.0,12492581.674074076,12337577.877777783,43.39111481481481,191.3074074074075,85054.64646818467,270,51653
4,2021-01-01 04:00:00+00:00,52.22441670148804,1.0,3443.98183566,,3803551000000000.0,12486758.032490972,12065392.70758123,40.81284115523466,187.3682310469314,44320.21076392956,277,51901
5,2021-01-01 05:00:00+00:00,47.42396256249449,1.0,7671.579271112,,3810611200000000.0,12476224.591549302,12242852.183098596,37.7252323943662,170.919014084507,47234.28969817598,284,48541
6,2021-01-01 06:00:00+00:00,53.55632564730249,2e-09,10661.569466271,,3817472400000000.0,12489704.376000004,12120049.244,39.409184,165.35200000000003,63754.838774207135,250,41338
7,2021-01-01 07:00:00+00:00,52.61967227441167,0.0,34619.30055091,,3724123000000000.0,12484482.14403292,12348990.263374489,41.819127572016455,190.58436213991774,67987.20450568217,243,46312
8,2021-01-01 08:00:00+00:00,57.359816190406114,2e-09,6967.158110284,,3640663000000000.0,12486707.16,12106023.32,44.22132400000001,190.66799999999998,160997.25763627424,250,47667
9,2021-01-01 09:00:00+00:00,57.77660150024606,1.0,27080.488646581,,3588533800000000.0,12462861.350806456,12097635.391129034,42.22889112903227,183.72580645161284,75044.9650058365,248,45564
10,2021-01-01 10:00:00+00:00,50.522218601573805,2e-09,16860.0,,3602206800000000.0,12482876.09364549,12210359.632107023,36.22477257525084,156.52173913043467,122866.53865088086,299,46800
11,2021-01-01 11:00:00+00:00,54.28469253110632,0.0,107490.0,,3619315800000000.0,12480555.481481481,12326378.92592593,41.583437037037044,177.0592592592593,65267.657569663075,270,47806
12,2021-01-01 12:00:00+00:00,58.40659681308896,0.0,15186.557869298,,3655362000000000.0,12472685.33217993,12321078.878892733,41.550179930795835,176.2906574394463,79169.76316437343,289,50948
13,2021-01-01 13:00:00+00:00,65.4338479357404,0.0,54484.547109015,,3696395700000000.0,12487845.283088231,12060205.220588237,43.030286764705906,181.38602941176472,75466.36704860465,272,49337
14,2021-01-01 14:00:00+00:00,66.26018322466321,0.0,6026.652198138,,3716557600000000.0,12464276.435540069,12184754.815331014,42.29850174216027,188.3379790940767,85841.42818702878,287,54053
15,2021-01-01 15:00:00+00:00,75.63819350506881,0.0,4998.77808234,,3742839000000000.0,12480866.128378376,12211625.513513513,43.783685810810816,190.87162162162167,102074.68884976054,296,56498
16,2021-01-01 16:00:00+00:00,85.5269547605567,0.0,35899.322174307,,3830118200000000.0,12487183.717770034,12298692.99303136,43.26201045296168,184.00348432055745,96544.17859731783,287,52809
17,2021-01-01 17:00:00+00:00,105.82203463013867,0.0,15408.067073072,,3792320800000000.0,12484419.75403226,12210946.56451613,42.41287096774192,174.61290322580646,155210.53981973574,248,43304
18,2021-01-01 18:00:00+00:00,114.24359935435089,0.0,13601.267727651,,3769523700000000.0,12487140.370909093,12235268.49090909,39.867323636363615,168.58545454545447,138988.28856738796,275,46361
19,2021-01-01 19:00:00+00:00,73.66289060483875,2e-09,10275.680480362,,3759846900000000.0,12482208.162878783,12325303.784090912,40.983219696969705,177.44696969696977,95465.74090637907,264,46846
20,2021-01-01 20:00:00+00:00,55.80937559121976,0.0,30491.374306026,,3763346700000000.0,12488646.780575538,12289008.629496403,40.293111510791356,157.28057553956836,95728.35536705669,278,43724
21,2021-01-01 21:00:00+00:00,54.93287781587904,1.0,41200.0,,3776460000000000.0,12464478.977528092,12392117.044943817,38.44486516853931,156.62172284644197,89270.17596488196,267,41818
22,2021-01-01 22:00:00+00:00,55.50780169055841,2e-09,34615.838967018,,3721194800000000.0,12472629.031372549,12247456.674509807,38.751341176470596,155.7960784313725,88299.2721709038,255,39728
23,2021-01-01 23:00:00+00:00,62.60733106484947,2e-09,12633.975165399,,3709405400000000.0,12489245.496376809,12384322.739130437,41.47168478260872,157.60507246376807,364727.0677290371,276,43499
24,2021-01-02 00:00:00+00:00,94.95438988998055,0.0,21304.001362148,,3732360100000000.0,12490089.329629628,12060709.288888887,41.2456925925926,160.43333333333328,84524.6481878934,270,43317
25,2021-01-02 01:00:00+00:00,82.12487772925365,1e-09,6919.596006117,,3712510400000000.0,12478840.90671641,12225014.6119403,39.3583880597015,162.6791044776119,89298.20868548128,268,43598
26,2021-01-02 02:00:00+00:00,56.38911569319098,0.0,13629.501271281,,3755143000000000.0,12481218.262798635,12169156.122866893,39.37132423208193,167.18771331058016,118151.89018000042,293,48986
27,2021-01-02 03:00:00+00:00,48.872078008894505,2e-09,15239.61721152,,3802629300000000.0,12479464.941580761,12295067.436426114,38.67737457044672,169.94158075601374,48042.64455605918,291,49453
28,2021-01-02 04:00:00+00:00,45.146081246075084,2e-09,1751.400000001,,3878876500000000.0,12482066.151624547,12415235.296028879,38.58439711191336,171.1191335740072,56698.95046428659,277,47400
